entry_id	source_text	alt_source_text	source_lang	unified_ipa	gujarati_translation	category	notes
T2-0001	hai		hindi	hɛ	છે	aux	common copula
T2-0002	hain		hindi	hɛ̃	છે	aux	plural or formal
T2-0003	tha		hindi	tʰaː	હતો	aux	past masculine
T2-0004	thi		hindi	tʰiː	હતી	aux	past feminine
T2-0005	the		hindi	tʰeː	હતા	aux	past plural
T2-0006	main		hindi	mɛ̃	હું	pronoun	first person singular
T2-0007	hum		hindi	ɦəm	અમે	pronoun	first person plural
T2-0008	aap		hindi	aːp	તમે	pronoun	formal second person
T2-0009	tum		hindi	tʊm	તમે	pronoun	informal second person
T2-0010	ye		hindi	jeː	આ	pronoun	proximal
T2-0011	vo		hindi	ʋoː	તે	pronoun	distal
T2-0012	kya		hindi	kjaː	શું	question	interrogative
T2-0013	kaise		hindi	kɛseː	કેવી રીતે	question	interrogative
T2-0014	kyunki		hindi	kjoŋki	કારણ કે	conjunction	causal
T2-0015	aur		hindi	ɔːr	અને	conjunction	additive
T2-0016	lekin		hindi	leːkɪn	પણ	conjunction	contrastive
T2-0017	nahi		hindi	nəɦiː	નહીં	negation	common negative
T2-0018	agar		hindi	əɡər	જો	conjunction	conditional
T2-0019	samajhna		hindi	səməd͡ʒʱnaː	સમજવું	verb	lecture domain
T2-0020	bolna		hindi	boːlnaː	બોલવું	verb	lecture domain
T2-0021	sunna		hindi	sʊnnaː	સાંભળવું	verb	lecture domain
T2-0022	shabd		hindi	ʃəb̪d̪	શબ્દ	noun	common word
T2-0023	bhasha		hindi	bʱaːʂaː	ભાષા	noun	language term
T2-0024	awaaz		hindi	əʋaːz	અવાજ	noun	speech term
T2-0025	dhvani		hindi	d̪ʱʋəni	ધ્વનિ	noun	phonetics term
T2-0026	lecture		english	ˈlɛktʃər	લેકચર	academic	class session
T2-0027	classroom		english	ˈklæsruːm	વર્ગખંડ	academic	environment
T2-0028	speech		english	spiːtʃ	વાણી	speech	domain term
T2-0029	signal		english	ˈsɪɡnəl	સંકેત	speech	domain term
T2-0030	transcript		english	ˈtrænskrɪpt	ટ્રાન્સક્રિપ્ટ	speech	output text
T2-0031	transcription		english	trænˈskrɪpʃən	લિપ્યંતરણ	speech	process
T2-0032	frame		english	freɪm	ફ્રેમ	feature	analysis unit
T2-0033	phoneme		english	ˈfoʊniːm	ધ્વનિમ	phonetics	unit
T2-0034	vowel		english	ˈvaʊəl	સ્વર	phonetics	unit
T2-0035	consonant		english	ˈkɑːnsənənt	વ્યંજન	phonetics	unit
T2-0036	spectrum		english	ˈspɛktrəm	સ્પેક્ટ્રમ	feature	frequency domain
T2-0037	cepstrum		english	ˈkɛpstrəm	કેપ્સ્ટ્રમ	feature	cepstral domain
T2-0038	pitch		english	pɪtʃ	સ્વર ઊંચાઈ	prosody	f0 related
T2-0039	energy		english	ˈɛnərdʒi	ઊર્જા	prosody	intensity related
T2-0040	frequency		english	ˈfriːkwənsi	આવર્તન	prosody	signal property
T2-0041	embedding		english	ɛmˈbɛdɪŋ	એમ્બેડિંગ	model	vector representation
T2-0042	classifier		english	ˈklæsɪfaɪər	ક્લાસિફાયર	model	predictor
T2-0043	stochastic		english	stoʊˈkæstɪk	સ્ટોકાસ્ટિક	model	technical term
T2-0044	alignment		english	əˈlaɪnmənt	સંરેખણ	model	mapping step
T2-0045	denoising		english	diːˈnɔɪzɪŋ	ડીનોઇઝિંગ	preprocess	noise removal
T2-0046	normalization		english	nɔːrmələˈzeɪʃən	નોર્મલાઇઝેશન	preprocess	cleanup step
T2-0047	beam search		english	biːm sɝːtʃ	બીમ સર્ચ	decoding	search method
T2-0048	language identification		english	ˈlæŋɡwɪdʒ aɪˌdɛntɪfɪˈkeɪʃən	ભાષા ઓળખ	decoding	lid task
T2-0049	dynamic time warping		english	daɪˈnæmɪk taɪm wɔːrpɪŋ	ડાયનામિક ટાઈમ વોર્પિંગ	prosody	dtw method
T2-0050	synthesis		english	ˈsɪnθəsɪs	સિન્થેસિસ	tts	generation
T2-0051	speaker		english	ˈspiːkər	વક્તા	speaker	person voice
T2-0052	voice		english	vɔɪs	અવાજ	speaker	person voice
T2-0053	spoof		english	spuːf	નકલી અવાજ	security	anti spoof term
T2-0054	bona fide		english	ˌboʊnə ˈfaɪdi	વાસ્તવિક અવાજ	security	real speech
T2-0055	adversarial		english	ˌædvərˈsɛriəl	એડ્વર્સેરિયલ	robustness	attack related
T2-0056	perturbation		english	ˌpɝːtərˈbeɪʃən	ક્ષુદ્ર વિક્ષેપ	robustness	noise term
T2-0057	तीसरा		hindi	tiːsɾaː	ત્રીજું	discourse	ordinal marker
T2-0058	मैं		hindi	mɛ̃	હું	pronoun	first person
T2-0059	मेरे		hindi	meːɾe	મારા	pronoun	possessive
T2-0060	लिए		hindi	li.e	માટે	postposition	common in transcript
T2-0061	कुछ		hindi	kʊt͡ʃ	કંઈ	quantifier	common in transcript
T2-0062	नहीं		hindi	nəhĩː	નહીં	negation	common in transcript
T2-0063	करूंगा		hindi	kəɾuːŋɡaː	કરીશ	verb	future first person
T2-0064	आज		hindi	aːd͡ʒ	આજે	time	common in transcript
T2-0065	मुझे		hindi	mʊd͡ʒʱe	મને	pronoun	oblique form
T2-0066	चौबीस		hindi	t͡ʃɔbiːs	ચોવીસ	number	from transcript
T2-0067	साल		hindi	saːl	વર્ષ	time	common in transcript
T2-0068	कालखंड		hindi	kaːlkʰəɳɖ	સમયખંડ	noun	from transcript
T2-0069	रूप		hindi	ɾuːp	રૂપ	noun	common
T2-0070	देशवासियों		hindi	d̪eːʃʋaːsijõ	દેશવાસીઓ	noun	public audience
T2-0071	काम		hindi	kaːm	કામ	noun	common in transcript
T2-0072	दिया		hindi	d̪ijaː	આપ્યું	verb	past form
T2-0073	तीन		hindi	tiːn	ત્રણ	number	common
T2-0074	कसौटी		hindi	kəsɔʈiː	કસોટી	noun	decision criterion
T2-0075	अपने		hindi	əpne	પોતાના	pronoun	reflexive possessive
T2-0076	आप		hindi	aːp	પોતે	pronoun	reflexive in this context
T2-0077	तोल		hindi	toːl	તોલ	noun	scale or weighing
T2-0078	रखा		hindi	ɾəkʰaː	રાખ્યું	verb	past form
T2-0079	इंस्पिरेशन		english_loan	ɪnspɪɾeːʃən	પ્રેરણા	abstract	borrowed English
T2-0080	आवश्यकता		hindi	əʋəʃjəktaː	જરૂરિયાત	abstract	common in transcript
T2-0081	सेवा		hindi	seːʋaː	સેવા	service	public service
T2-0082	ऊर्जा		hindi	uːɾd͡ʒaː	ઊર્જા	abstract	common in transcript
T2-0083	इंजीनियर		english_loan	ɪnd͡ʒɪˈnɪəɾ	ઇજનેર	profession	borrowed English
T2-0084	person		english	pɜːsən	વ્યક્તિ	common	embedded English
T2-0085	loves		english	ləvz	પ્રેમ કરે છે	common	embedded English
T2-0086	mathematics		english	mɛθəˈmætɪks	ગણિત	academic	embedded English
T2-0087	रामानुजन		hindi_name	ɾaːmaːnud͡ʒən	રામાનુજન	name	proper noun
T2-0088	Indian		english	ɪnɖijən	ભારતીય	identity	embedded English
T2-0089	mathematician		english	mæθəməˈtɪʃən	ગણિતજ્ઞ	academic	embedded English
T2-0090	science		english	saɪəns	વિજ્ઞાન	academic	embedded English
T2-0091	spirituality		english	spɪɾɪtʃuˈælɪʈi	આધ્યાત્મિકતા	abstract	embedded English
T2-0092	connection		english	kəˈnɛkʃən	સંબંધ	abstract	embedded English
T2-0093	scientific		english	saɪənˈtɪfɪk	વૈજ્ઞાનિક	academic	embedded English
T2-0094	advanced		english	ədˈvaːnst	પ્રગતિશીલ	academic	embedded English
T2-0095	minds		english	maɪndz	મનોવૃત્તિઓ	abstract	embedded English
T2-0096	कट		english_loan	kʌʈ	અલગ	action	code-switched use
T2-0097	off		english	ɔf	અલગ	particle	in phrase cut off
T2-0098	श्रीनिवास		hindi_name	ʃɾiːniʋaːs	શ્રીનિવાસ	name	proper noun
T2-0099	कहते		hindi	keːhte	કહેતા	verb	common
T2-0100	उन्हें		hindi	ʊnʱẽ	તેમને	pronoun	oblique plural
T2-0101	mathematical		english	mæθəˈmætɪkəl	ગણિતीय	academic	embedded English
T2-0102	ideas		english	aɪˈdɪəz	વિચારો	abstract	embedded English
T2-0103	देवी		hindi	deːʋiː	દેવી	spiritual	common in transcript
T2-0104	पूजा		hindi	puːd͡ʒaː	પૂજા	spiritual	common in transcript
T2-0105	तपस्या		hindi	t̪əpəsjaː	તપસ્યા	spiritual	common in transcript
T2-0106	hard work		english	haːɾɖ wɜːk	કઠિન મહેનત	work	embedded English phrase
T2-0107	खुद		hindi	kʰʊd̪	પોતે	pronoun	common
T2-0108	खपा		hindi	kʰəpaː	સમર્પિત કરી દેવું	verb	contextual sense
T2-0109	knowledge		english	nɑlɪd͡ʒ	જ્ઞાન	academic	embedded English
T2-0110	sources		english	sɔːɾsɪz	સ્ત્રોતો	academic	embedded English
T2-0111	open		english	oːpən	ખુલ્લા	descriptor	embedded English
T2-0112	information		english	ɪnfəɾˈmeːʃən	માહિતી	academic	embedded English
T2-0113	फर्क		hindi	fəɾk	ફરક	noun	common
T2-0114	समझना		hindi	səməd͡ʒʱnaː	સમજવું	verb	common
T2-0115	विधा		hindi	ʋɪd̪ʱaː	વિભાગ અથવા પદ્ધતિ	noun	knowledge genre
T2-0116	processing		english	pɾaːsɛsɪŋ	પ્રક્રિયા કરવું	process	embedded English
T2-0117	धीरे		hindi	d̪ʱiːɾe	ધીમે	manner	common
T2-0118	evolve		english	iˈʋɔlʋ	વિકસવું	process	embedded English
T2-0119	politician		english	pɑlɪˈʈɪʃən	રાજકારણી	governance	embedded English
T2-0120	district		english	ɖɪsˈʈɾɪkʈ	જિલ્લો	governance	embedded English
T2-0121	रात्रि		hindi	ɾaːtɾi	રાત્રિ	time	common
T2-0122	मुकाम		hindi	mʊkaːm	મુકામ	noun	from transcript
T2-0123	grassroot		english	ɡɾaːsɾuːʈ	ધરાતળનું	governance	embedded English
T2-0124	level		english	lɛʋəl	સ્તર	governance	embedded English
T2-0125	first hand		english	fɝsʈ hænɖ	પ્રત્યક્ષ	governance	embedded English
T2-0126	निर्णय		hindi	nɪɾɳəj	નિર્ણય	governance	core term
T2-0127	तराजू		hindi	təɾaːd͡zuː	તારાજુ	governance	decision metaphor
T2-0128	देश		hindi	d̪eːʃ	દેશ	governance	core term
T2-0129	गरीब		hindi	ɡəɾiːb	ગરીબ	governance	core term
T2-0130	चेहरा		hindi	t͡ʃeːhɾaː	ચહેરો	noun	common
T2-0131	सही		hindi	səhiː	યોગ્ય	descriptor	common
T2-0132	information channel		english	ɪnfəɾˈmeːʃən tʃɛnəl	માહિતી ચેનલ	governance	embedded English phrase
T2-0133	brief		english	bɾiːf	બ્રીફ	governance	embedded English
T2-0134	निर्भर		hindi	nɪɾbʱəɾ	આધારિત	descriptor	common
T2-0135	विद्यार्थी		hindi	ʋɪd̪jaːɾtʰiː	વિદ્યાર્થી	education	common
T2-0136	भाव		hindi	bʱaːʋ	ભાવ	abstract	common
T2-0137	देविल advocate		mixed	dɛʋəlz ˈædʋəkeːʈ	ડેવિલ્સ એડ્વોકેટ	argument	code-switched phrase
T2-0138	उल्टे		hindi	ʊlʈe	ઉલટા	descriptor	common
T2-0139	प्रश्न		hindi	pɾəʃn	પ્રશ્ન	education	common
T2-0140	बारीकी		hindi	baːɾiːkiː	સૂક્ષ્મતા	analysis	common
T2-0141	मंथन		hindi	mən̪t̪ʰən	મંથન	analysis	common
T2-0142	reaction		english	ɾiˈækʃən	પ્રતિક્રિયા	analysis	embedded English
T2-0143	convince		english	kənˈʋɪns	વિશ્વાસમાં આવવું	analysis	embedded English
T2-0144	process		english	pɾaːsɛs	પ્રક્રિયા	analysis	embedded English
T2-0145	speed		english	spiːɖ	ઝડપ	analysis	embedded English
T2-0146	corona		english_loan	koːɾoːnaː	કોરોના	health	borrowed English
T2-0147	economist		english	iˈkɑnəmɪst	અર્થશાસ્ત્રી	economy	embedded English
T2-0148	political parties		english	pəˈlɪʈɪkəl paːɾʈiz	રાજકીય પક્ષો	governance	embedded English phrase
T2-0149	pressure		english	pɾɛʃəɾ	દબાણ	economy	embedded English
T2-0150	भूखा		hindi	bʱuːkʰaː	ભૂખ્યો	state	common
T2-0151	social tension		english	soːʃəl tɛnʃən	સામાજિક તણાવ	governance	embedded English phrase
T2-0152	lockdown		english	lɑkɖaːʊn	લોકડાઉન	health	embedded English
T2-0153	expert opinion		english	ɛkspɜːʈ əˈpɪnjən	નિષ્ણાત મત	analysis	embedded English phrase
T2-0154	परिस्थिति		hindi	pəɾɪst̪ʰɪt̪i	પરિસ્થિતિ	governance	core term
T2-0155	inflation		english	ɪnˈfleːʃən	મૂલ્યવૃદ્ધિ	economy	embedded English
T2-0156	संकट		hindi	səŋkəʈ	સંકટ	governance	core term
T2-0157	theory		english	θiəɾi	સિદ્ધાંત	analysis	embedded English
T2-0158	basic		english	beːsɪk	મૂળભૂત	analysis	embedded English
T2-0159	fundamental		english	fʌnɖəˈmɛnʈəl	મૂલ આધાર	economy	embedded English
T2-0160	focus		english	foːkəs	ફોકસ	analysis	embedded English
T2-0161	risk taking capacity		english	ɾɪsk ʈeːkɪŋ kəˈpæsɪʈi	જોખમ લેવાની ક્ષમતા	governance	embedded English phrase
T2-0162	ownership		english	oːnəɾʃɪp	માલિકી	governance	embedded English
T2-0163	गलती		hindi	ɡəlt̪i	ભૂલ	common	common in transcript
T2-0164	जिम्मा		hindi	d͡zɪmmaː	જવાબદારી	governance	common in transcript
T2-0165	team		english	ʈiːm	ટીમ	governance	embedded English
T2-0166	ईमानदारी		hindi	iːmaːnd̪aːɾiː	ઇમાનદારી	governance	core term
T2-0167	सरकार		hindi	səɾkaːɾ	સરકાર	governance	core term
T2-0168	अफसर		hindi	əfsəɾ	અધિકારી	governance	common in transcript
T2-0169	ईर्षा		hindi	iːɾʂjaː	ઇર્ષ્યા	abstract	common in transcript
