entry_id	entry_type	source_text	alt_source_text	source_lang	unified_ipa	gujarati_translation	category	task_use	start_time	end_time	notes	source_file
T2-0001	token	hai		hindi	hɛ	છે	aux	task2.1+task2.2_support			common copula	hinglish_ipa_mapping_starter.csv
T2-0002	token	hain		hindi	hɛ̃	છે	aux	task2.1+task2.2_support			plural or formal	hinglish_ipa_mapping_starter.csv
T2-0003	token	tha		hindi	tʰaː	હતો	aux	task2.1+task2.2_support			past masculine	hinglish_ipa_mapping_starter.csv
T2-0004	token	thi		hindi	tʰiː	હતી	aux	task2.1+task2.2_support			past feminine	hinglish_ipa_mapping_starter.csv
T2-0005	token	the		hindi	tʰeː	હતા	aux	task2.1+task2.2_support			past plural	hinglish_ipa_mapping_starter.csv
T2-0006	token	main		hindi	mɛ̃	હું	pronoun	task2.1+task2.2_support			first person singular	hinglish_ipa_mapping_starter.csv
T2-0007	token	hum		hindi	ɦəm	અમે	pronoun	task2.1+task2.2_support			first person plural	hinglish_ipa_mapping_starter.csv
T2-0008	token	aap		hindi	aːp	તમે	pronoun	task2.1+task2.2_support			formal second person	hinglish_ipa_mapping_starter.csv
T2-0009	token	tum		hindi	tʊm	તમે	pronoun	task2.1+task2.2_support			informal second person	hinglish_ipa_mapping_starter.csv
T2-0010	token	ye		hindi	jeː	આ	pronoun	task2.1+task2.2_support			proximal	hinglish_ipa_mapping_starter.csv
T2-0011	token	vo		hindi	ʋoː	તે	pronoun	task2.1+task2.2_support			distal	hinglish_ipa_mapping_starter.csv
T2-0012	token	kya		hindi	kjaː	શું	question	task2.1+task2.2_support			interrogative	hinglish_ipa_mapping_starter.csv
T2-0013	token	kaise		hindi	kɛseː	કેવી રીતે	question	task2.1+task2.2_support			interrogative	hinglish_ipa_mapping_starter.csv
T2-0014	token	kyunki		hindi	kjoŋki	કારણ કે	conjunction	task2.1+task2.2_support			causal	hinglish_ipa_mapping_starter.csv
T2-0015	token	aur		hindi	ɔːr	અને	conjunction	task2.1+task2.2_support			additive	hinglish_ipa_mapping_starter.csv
T2-0016	token	lekin		hindi	leːkɪn	પણ	conjunction	task2.1+task2.2_support			contrastive	hinglish_ipa_mapping_starter.csv
T2-0017	token	nahi		hindi	nəɦiː	નહીં	negation	task2.1+task2.2_support			common negative	hinglish_ipa_mapping_starter.csv
T2-0018	token	agar		hindi	əɡər	જો	conjunction	task2.1+task2.2_support			conditional	hinglish_ipa_mapping_starter.csv
T2-0019	token	samajhna		hindi	səməd͡ʒʱnaː	સમજવું	verb	task2.1+task2.2_support			lecture domain	hinglish_ipa_mapping_starter.csv
T2-0020	token	bolna		hindi	boːlnaː	બોલવું	verb	task2.1+task2.2_support			lecture domain	hinglish_ipa_mapping_starter.csv
T2-0021	token	sunna		hindi	sʊnnaː	સાંભળવું	verb	task2.1+task2.2_support			lecture domain	hinglish_ipa_mapping_starter.csv
T2-0022	token	shabd		hindi	ʃəb̪d̪	શબ્દ	noun	task2.1+task2.2_support			common word	hinglish_ipa_mapping_starter.csv
T2-0023	token	bhasha		hindi	bʱaːʂaː	ભાષા	noun	task2.1+task2.2_support			language term	hinglish_ipa_mapping_starter.csv
T2-0024	token	awaaz		hindi	əʋaːz	અવાજ	noun	task2.1+task2.2_support			speech term	hinglish_ipa_mapping_starter.csv
T2-0025	token	dhvani		hindi	d̪ʱʋəni	ધ્વનિ	noun	task2.1+task2.2_support			phonetics term	hinglish_ipa_mapping_starter.csv
T2-0026	token	lecture		english	ˈlɛktʃər	લેકચર	academic	task2.1+task2.2_support			class session	hinglish_ipa_mapping_starter.csv
T2-0027	token	classroom		english	ˈklæsruːm	વર્ગખંડ	academic	task2.1+task2.2_support			environment	hinglish_ipa_mapping_starter.csv
T2-0028	token	speech		english	spiːtʃ	વાણી	speech	task2.1+task2.2_support			domain term	hinglish_ipa_mapping_starter.csv
T2-0029	token	signal		english	ˈsɪɡnəl	સંકેત	speech	task2.1+task2.2_support			domain term	hinglish_ipa_mapping_starter.csv
T2-0030	token	transcript		english	ˈtrænskrɪpt	ટ્રાન્સક્રિપ્ટ	speech	task2.1+task2.2_support			output text	hinglish_ipa_mapping_starter.csv
T2-0031	token	transcription		english	trænˈskrɪpʃən	લિપ્યંતરણ	speech	task2.1+task2.2_support			process	hinglish_ipa_mapping_starter.csv
T2-0032	token	frame		english	freɪm	ફ્રેમ	feature	task2.1+task2.2_support			analysis unit	hinglish_ipa_mapping_starter.csv
T2-0033	token	phoneme		english	ˈfoʊniːm	ધ્વનિમ	phonetics	task2.1+task2.2_support			unit	hinglish_ipa_mapping_starter.csv
T2-0034	token	vowel		english	ˈvaʊəl	સ્વર	phonetics	task2.1+task2.2_support			unit	hinglish_ipa_mapping_starter.csv
T2-0035	token	consonant		english	ˈkɑːnsənənt	વ્યંજન	phonetics	task2.1+task2.2_support			unit	hinglish_ipa_mapping_starter.csv
T2-0036	token	spectrum		english	ˈspɛktrəm	સ્પેક્ટ્રમ	feature	task2.1+task2.2_support			frequency domain	hinglish_ipa_mapping_starter.csv
T2-0037	token	cepstrum		english	ˈkɛpstrəm	કેપ્સ્ટ્રમ	feature	task2.1+task2.2_support			cepstral domain	hinglish_ipa_mapping_starter.csv
T2-0038	token	pitch		english	pɪtʃ	સ્વર ઊંચાઈ	prosody	task2.1+task2.2_support			f0 related	hinglish_ipa_mapping_starter.csv
T2-0039	token	energy		english	ˈɛnərdʒi	ઊર્જા	prosody	task2.1+task2.2_support			intensity related	hinglish_ipa_mapping_starter.csv
